text,rating,sentiment,clean_text
"respon cepat, barang ok, rencana mau order lagi",4,Positif,respon cepat rencana
Mantabbbb gannnnnn.......,4,Positif,mantabb gann
"barang sudah diterima, mantap, dan biar bintang yang berbicara gan.................",5,Positif,diterima bagus biar bintang berbicara gan
"barang sudah sampai, packing rapi",5,Positif,kemasan rapi
barang sip...sesuai dengan pesanan...mantapp,5,Positif,bagus sesuai pesanan mantapp
"mantabs bos sangat puas, fd nya original 100% dari distributor resmi datascript. makasih byk bosku",5,Positif,mantabs bos puas fd nya asli distributor resmi datascript terima kasih byk bosku
"Barang size standar indo. no.44 pas banget di kaki tanpa kaos kaki, pengiriman super cepat hanya sehari,padahal reguler. Ok",5,Positif,size standar indo no pas banget kaki kaos kaki super cepat sehari reguler
Barang sesuai dan pengiriman cepat,5,Positif,sesuai cepat
Barang bagus dan harga miring,5,Positif,bagus harga miring
"Recommended, respon cepat, barang sesuai pesanan.",4,Positif,recommended respon cepat sesuai pesanan
Pesanan langsung cepat direspond dan diproses. Thanks,5,Positif,pesanan langsung cepat direspond diproses terima kasih
Response Bagus Dan pengiriman cepat,5,Positif,response bagus cepat
Mantap...............................,5,Positif,bagus
Barangnya bagus sesuai degan yg di foto thank so much,5,Positif,barangnya bagus sesuai degan foto thank so much
Barang sesuai deskripsi,5,Positif,sesuai deskripsi
Barang cepat sampa.. belum dicoba tapi semoga memenuhi ekspektasi saya,5,Positif,cepat sampa dicoba semoga memenuhi ekspektasi
Sseessuai.pc barang okkkkk,5,Positif,sseessuai pc okk
makasih. barang diterima dengan baik,5,Positif,terima kasih diterima
Mantap..cepet sampai dan original..makasih gan..sukses selalu..,5,Positif,bagus cepat asli terima kasih gan sukses
Barang sampai dan tes ok,4,Positif,tes
Barang terpack rapi. Pengiriman cepat,5,Positif,terpack rapi cepat
"warna dan ukuran sesuai, packing rapih, kualitas OK",5,Positif,warna ukuran sesuai kemasan rapih kualitas
"Baterai awalnya tidak nyala, kemudian dikembalikan dan dikirimkan kembali meskipun agak lama prosesnya. Baterai tahan kira2 4 jam.",4,Positif,baterai nyala dikembalikan dikirimkan prosesnya baterai tahan jam
Bekerja dengan baikkkkk,5,Positif,baikk
Kualitas sesuai harga fast respon,4,Positif,kualitas sesuai harga fast respon
thxs. cartridge Ok sesuai Ama pesanan,5,Positif,thxs cartridge sesuai ama pesanan
"packing rapih, kiriman cepat.",5,Positif,kemasan rapih kiriman cepat
Sesuai iklan. Produk kualitas baik. Paking aman. Kirimnya juga cepat.,5,Positif,sesuai iklan kualitas paking aman kirimnya cepat
"Barang berfungsi dengan semestinya
Pengiriman super cepat
Respon chat cepat
Terimakasih sukses trus yaw....
Mantulll.. &#34;",5,Positif,berfungsi semestinya super cepat respon chat cepat terimakasih sukses trus yaw mantull
"Packing rapi 
Barang sesuai pesanan",5,Positif,kemasan rapi sesuai pesanan
"Terima kasih gan, barangnya sesuai pesanan",4,Positif,terima kasih gan barangnya sesuai pesanan
"bagus gan, colokanya nyala semua",5,Positif,bagus gan colokanya nyala
mantap gan barangnya sesuai dan juga pengiriman cepat,4,Positif,bagus gan barangnya sesuai cepat
barang sudah di terima dengan baik.. thanks,5,Positif,terima terima kasih
"Barang sudah sampai,   packing rapih makasih gan....",4,Positif,kemasan rapih terima kasih gan
barang sesuai pesanan dan berfungsi dgn baik,5,Positif,sesuai pesanan berfungsi
Tks................. . ... .,5,Positif,tks
"paket sdh diterima, barangnya berkualitas,
terima kasih gan, sukses tokonya..",5,Positif,diterima barangnya berkualitas terima kasih gan sukses tokonya
"terima kasih.....
................",5,Positif,terima kasih
Sesuai deskripsi...mantaaappp,5,Positif,sesuai deskripsi mantaapp
barang tepat &amp; cepat sampai. lancar jaya,5,Positif,amp cepat lancar jaya
"Makasih , gamsahamida , xie xie , arigatou agann",5,Positif,terima kasih gamsahamida xie xie arigatou agann
Puas banget sama barangnya,5,Positif,puas banget barangnya
"Joss,gak sampe sejam dah sampe barang nya,thanks ya",5,Positif,bagus sampe sejam dah sampe nya terima kasih ya
Tooooooooooooooooooop bgt,4,Positif,toop banget
"&#34;Barang sudh diterima dlam keadaan baik, lbh kecil dr ekspetasi .. 
Tks&#34;",5,Positif,sudh diterima dlam lbh dr ekspetasi tks
"Produk diterima dengan baik, kemasan bagus dan tampilan ok banget 👍🏻",5,Positif,diterima kemasan bagus tampilan banget
"barang sesuai, pengiriman cepat",5,Positif,sesuai cepat
"Barangnya mantap, packingnya aman dan rapi, respon dari seller cepat dan baik. Pengirimannya juga cepat.",5,Positif,barangnya bagus packingnya aman rapi respon cepat pengirimannya cepat
"respon cepat, pengiriman hari itu juga sampai, produk sesuai. good",5,Positif,respon cepat sesuai good
mantaaaab sukses teruuus jualannya,5,Positif,mantaab sukses teruus jualannya
Pengiriman dan respon cepat. Barang bagus. Trims,5,Positif,respon cepat bagus trims
"Warna sesuai yg diminta, trims",4,Positif,warna sesuai trims
Barang sudah mendarat dengan selamat,5,Positif,mendarat selamat
Barang ok. Sesuai. Packing nya rapih. Cuma konfirmasi smpe pengiriman agak sedikit lama. Tp ok kok,5,Positif,sesuai kemasan nya rapih konfirmasi smpe
Produk bagus sesuai deskripsi👌,5,Positif,bagus sesuai deskripsi
Barang udah sampai makasih,5,Positif,terima kasih
mantap braaaaaaaaayyyyyyyyyyyy,5,Positif,bagus braayy
Mantap...................................................,4,Positif,bagus
Barang sesuai dengan pesanan. Respon cepat. Harga bersaing. Mantappp..,5,Positif,sesuai pesanan respon cepat harga bersaing mantapp
Bagus. Tidak masalah. Moga2 awet.,5,Positif,bagus moga awet
"pengiriman standard, kualitas bagus walau harga murah",4,Positif,standard kualitas bagus harga murah
"Barang ok, sesuai deskripsi, pelayanan mantab 😀",5,Positif,sesuai deskripsi pelayanan mantab
Thank you pake bgt udh sampe barangnya,5,Positif,thank you pakai banget udh sampe barangnya
"Bintang nya ok banget, recomended",5,Positif,bintang nya banget rekomendasi
"top seler, barang sesuai 

recommend,",5,Positif,top seler sesuai recommend
barang nya bagus... sesuai dengan yang di foto,5,Positif,nya bagus sesuai foto
Barang bagus sesuai pesanannya,4,Positif,bagus sesuai pesanannya
"Packing rapih,barang terjaga",5,Positif,kemasan rapih terjaga
"barang ok,, hanya saja kurir grabnya meras masa minta uang lagi 20 rb alesan titik mapnya kga sama,, padahal saya pesan barang sebelumnya kga begini",4,Positif,grabnya meras uang rb alesan titik mapnya kga kga
Paketnya sudah saya terima seller..Terima kasih,5,Positif,paketnya terima terima kasih
"nice gan, sorry bru review, barang udah nyampe",4,Positif,nice gan sorry bru review nyampe
Sippp sesuai gambar. Pengiriman super cepat. Barang oke. Thanks,5,Positif,sipp sesuai gambar super cepat terima kasih
mantappp sampe dengan selamat,5,Positif,mantapp sampe selamat
part yg mantabb dijamin cling,5,Positif,part mantabb dijamin cling
Produk diterima dengan baik trmksh,5,Positif,diterima trmksh
"kualitas sesuai yang diharapkan... tdk mengecewakan...
gan tolong kasi link lapak buat isi staplesnya dong, lupa ga pesan sekalian...  kan ada 3 macam ini isinya...",5,Positif,kualitas sesuai diharapkan mengecewakan gan tolong kasi link lapak isi staplesnya lupa isinya
Pengiriman cepat. Barang sesuai deskripsi. Keren dahh,4,Positif,cepat sesuai deskripsi keren dahh
Barang lumayan bagus..,5,Positif,lumayan bagus
"barang cocok, bagus, bisa di andalkan....................",4,Positif,cocok bagus andalkan
"Barang sesuai dengan gambar, packing rapi, n fast respon",4,Positif,sesuai gambar kemasan rapi fast respon
"Sesuai deskripsi, bagus dan lekas sampai. Recommended seller",5,Positif,sesuai deskripsi bagus lekas recommended
Barang ok dan berfungsi baik,5,Positif,berfungsi
Produk sesuai deskripsi dipaketkan rapi Recommended lah !!,5,Positif,sesuai deskripsi dipaketkan rapi recommended
"responsi dan proses cepat.
barang ok",5,Positif,responsi proses cepat
"Produk diterima sesuai dengan picture pada display, akurasi produk sangat baik.. Kualitas baik.. Seller responsif dan informatif.. Good product and Good seller.. (:",5,Positif,diterima sesuai picture display akurasi kualitas responsif informatif good product and good
pemesanan diproses secepat kilat,5,Positif,pemesanan diproses secepat kilat
Kyknya lumayan bgs...semoga awet,4,Positif,kyknya lumayan bgs semoga awet
"Bagus, sesuai deskripsi",4,Positif,bagus sesuai deskripsi
"recommended,sukses selalu untuk tokonya gan",5,Positif,recommended sukses tokonya gan
Barangnya keren tapi bukan batre alkalin &#39;&lt;&#39; tapi gudd dah b&#39;_&#39;)b,4,Positif,barangnya keren batre alkalin lt gudd dah
"barang sesuai deskripsi, barang bagus. thanks ya gan",5,Positif,sesuai deskripsi bagus terima kasih ya gan
...........mantap 😁,5,Positif,bagus
proses cepat tapi gosend nya baru kirim bsknya.kualitas sesuai hrg.thx,4,Positif,proses cepat gosend nya bsknya kualitas sesuai hrg terima kasih
Terima kasih .............,5,Positif,terima kasih
"Murah, barang sesuai, respon baik, pengiriman cepat",5,Positif,murah sesuai respon cepat
Polo Shirt Wangky Lacoste (07717860) top bgt,5,Positif,polo shirt wangky lacoste top banget
Barang diterima dgn baik,4,Positif,diterima
thanks barang cepat sampai dan bagusss,5,Positif,terima kasih cepat baguss
"Response seller instant, produk sesuai pesanan 👍👍👍👍👍",5,Positif,response instant sesuai pesanan
Thx sudah sampai pesanannya...,5,Positif,terima kasih pesanannya
"awalnya trjadi kesalahan memasukan nmr resi,tapi cepat di perbaiki.dn barang sudh ditrima dng baik..mantap..sesuai pesanan yg diinginkan..thanks min",5,Positif,trjadi kesalahan memasukan nmr resi cepat perbaiki dn sudh ditrima dng bagus sesuai pesanan terima kasih min
Kualitas sesuai dengan harga. Trimakasih barangnya sudah sampai,5,Positif,kualitas sesuai harga trimakasih barangnya
"Barang sudah diterima, sorry baru balas :)",5,Positif,diterima sorry balas
Produk sudah diterima dengan baik,5,Positif,diterima
"Bagus banget. Harga ga mahal tapi barang memuaskan bgt. Enak dipake, bahan bagus, jahitan rapu pula",5,Positif,bagus banget harga mahal memuaskan banget enak dipake bahan bagus jahitan rapu
Kereeeen abiiss rekomended,5,Positif,kereen abiiss rekomended
"Barang sesuai deskripsi, sangat baik !",5,Positif,sesuai deskripsi
mantap keren. sukses selalu buat tokonya,5,Positif,bagus keren sukses tokonya
"Paket dah nyampe, respon cepat dan barang sesuai deskripsi",4,Positif,dah nyampe respon cepat sesuai deskripsi
"Barang sudah diterima, semoga awet.. tq",5,Positif,diterima semoga awet tq
Paket sudah diterima gan....,4,Positif,diterima gan
"Barang sudah sampai, sesuai gambar, kualitas oke punya, pokoknya recommended seller deh",5,Positif,sesuai gambar kualitas pokoknya recommended deh
"Barang sudah diterima, sesuai pesanan. Thanks gan...",4,Positif,diterima sesuai pesanan terima kasih gan
Fast respon...... pengiriman cepat....,5,Positif,fast respon cepat
"Kedua kalinya beli di sini.. Jempolan banget!!
Terima kasih gan.. Sukses teruss..",5,Positif,kalinya jempolan banget terima kasih gan sukses teruss
Barang sudah sampai sesuai pesanan,5,Positif,sesuai pesanan
"barang bagus, pengiriman cepat & rapih, thanks",5,Positif,bagus cepat rapih terima kasih
terima kasihhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,5,Positif,terima kasihh
"barang sampai tujuan, dan berfungsi sesuai harapan",5,Positif,tujuan berfungsi sesuai harapan
"barang sudah diterima dan langsung dicoba, hasilnya ok, trims ya...",5,Positif,diterima langsung dicoba hasilnya trims ya
"Barang sudah sampai gan, langsung ane pakai buat mbenerin kursi",5,Positif,gan langsung ane pakai mbenerin kursi
murah banget.... barang OK.................,5,Positif,murah banget
"Warnanya bagus, bahannya juga empuk dan nyaman. Sarung tas nya berguna sekali. Thanks",5,Positif,warnanya bagus bahannya empuk nyaman sarung tas nya berguna terima kasih
sip lahhhhhhhhhhhhhhhhhhhhhh,5,Positif,bagus lahh
"Keren barangnya, mudah2an awet",5,Positif,keren barangnya mudah an awet
Terima kasih.....barang sudah Saya terima,5,Positif,terima kasih terima
"Good looking watch, affordable price",5,Positif,good looking watch affordable price
Barang nya sesuai kren respon cepat pengiriman baik,5,Positif,nya sesuai kren respon cepat
brg udh smpe gan.. fast response n good quality ..,5,Positif,udh smpe gan fast response good quality
"Produk oke, sesuai deskripsi",5,Positif,sesuai deskripsi
good product .  good packing. thx u,5,Positif,good product good kemasan terima kasih
"Response cepat, brgnya mantabs",5,Positif,response cepat brgnya mantabs
"Pembelian kedua, packing ok, pengiriman cepat. Barang sesuai deskripsi.",4,Positif,pembelian kemasan cepat sesuai deskripsi
Sesuai pesanan.thak ya gan,5,Positif,sesuai pesanan thak ya gan
"barang bagus,  pengiriman cepat",5,Positif,bagus cepat
"Ya lumayanlah, layar bisa agak.gedean, jadi nampak lebih jelas",5,Positif,ya lumayanlah layar gedean nampak
"barang datang dengan selamat tanpa cacat, cuma ternyata untuk ukurannya (xl) lebih besar dari perkiraan, untuk hp huawei nova 3i masih sisa lumayan banyak",4,Positif,selamat cacat ukurannya xl perkiraan hp huawei nova sisa lumayan
Mantap..... Suara lumayan sdh dicoba ok,5,Positif,bagus suara lumayan dicoba
gooddddddddddddddddddddddddd,5,Positif,goodd
Bagus.... Awalnya kekecilan krn saya pesan berdasarkan nomor sepatu yg biasa saya pakai...ternyata krn model sepatu depannya mengecil dan ukurannya itu sptnya ukuran outsole jdnya kekecilan..untungnya masih bisa ditukar ...jdnya ga sia2 deh... Trims utk bata official store,5,Positif,bagus kekecilan berdasarkan nomor sepatu pakai model sepatu depannya mengecil ukurannya sptnya ukuran outsole jdnya kekecilan untungnya ditukar jdnya sia deh trims bata official store
"Bagus, sesuai deskripsi Di penawaran,terima kasih",5,Positif,bagus sesuai deskripsi penawaran terima kasih
Packing rapi cepat sampai responsif pokoknya ok,5,Positif,kemasan rapi cepat responsif pokoknya
"barang bagus, pelayanan cepat juga.. selalu puas sama agan satu ini",5,Positif,bagus pelayanan cepat puas agan
Servis cepat dan memuaskan,5,Positif,servis cepat memuaskan
Paketnya bagus dan rapi... barangnya bagus dan sesuai dgn pesanan.,5,Positif,paketnya bagus rapi barangnya bagus sesuai pesanan
"Maaf, baru kasih ulasan. Sudah saya coba barangnya, mantap.",5,Positif,maaf kasih ulasan coba barangnya bagus
"barang sesuai, seller ok.......",5,Positif,sesuai
Mantap sesuai pesanan.,5,Positif,bagus sesuai pesanan
Biar bintang berbicara,5,Positif,biar bintang berbicara
terimakasih barangnya sudah sampai...,4,Positif,terimakasih barangnya
"barang udah di tes dan berjalan mulus, packing rapi...",5,Positif,tes berjalan mulus kemasan rapi
barang sudah sampai gan...,4,Positif,gan
Brng&#39;y sdh nymp..manstafh..,5,Positif,brng nymp manstafh
Terima kasih.................................,5,Positif,terima kasih
produk sesuai dengan deskripsi. pelayanan juga cepat. siiiiippppp.......,5,Positif,sesuai deskripsi pelayanan cepat siipp
O.K mantap gan besok2 order lagi 👍,5,Positif,bagus gan besok
barang cepat sampai dan penjual jg fast respon,5,Positif,cepat penjual jg fast respon
"bagus, fungsional, kokoh",5,Positif,bagus fungsional kokoh
Barang ok sesuai harapan tks,5,Positif,sesuai harapan tks
Makasih....... barang nya sesuai,5,Positif,terima kasih nya sesuai
tidak mengecewakan belanja disini,4,Positif,mengecewakan
Mantap trimakasih 🙏👍🙏,5,Positif,bagus trimakasih
barang sesuai dengan gambar dan spesifikasi,5,Positif,sesuai gambar spesifikasi
Barang bagus.packing rapi..cm agak lama ngirimnya,5,Positif,bagus kemasan rapi cm ngirimnya
Rekomendedddddd buuuangeedddd...,5,Positif,rekomendedd buuangeedd
asli original check SN by web HP.. thanks boss..,5,Positif,asli asli check sn by hp terima kasih boss
Barang sudah diterima dan sesuai dengan deskripsi dan bekerja dengan baik. packaging rapih. terima kasih.,5,Positif,diterima sesuai deskripsi packaging rapih terima kasih
Barang sesuai pesanan Dan memuaskan,5,Positif,sesuai pesanan memuaskan
"Bagus, lumayan lah dapet harga murah",4,Positif,bagus lumayan dapet harga murah
Produk sudah sampai...packing rapi,5,Positif,kemasan rapi
"Baru nyoba merek ini ternyata bagus.
Sukses jualannya",5,Positif,nyoba merek bagus sukses jualannya
Murmer mantap puas!!!!,5,Positif,murmer bagus puas
"Goodnproduct
Good respons
Good joob
Fast shipping",5,Positif,goodnproduct good respons good joob fast shipping
"Barang sesuai pesanan, kondisi barang mulus dan packagingnya rapih. Recommended seller.",5,Positif,sesuai pesanan kondisi mulus packagingnya rapih recommended
mangsatb bro barnagnya,5,Positif,mangsatb bro barnagnya
FAST RESPOND.. BARANG BAGUSS.. RECOMENDED SELLER DAAH..,4,Positif,fast respond baguss rekomendasi daah
"Barang sudah sampai. dikira yg dkirim merk m tech, tapi Gpp selama lancar it's OK
terimakasih",4,Positif,dkirim merk tech gpp lancar it terimakasih
barang sudah diterima....................,4,Positif,diterima
"barang dah nyampek, kualitas oke",5,Positif,dah nyampek kualitas
Good product with good price,5,Positif,good product with good price
barang sudah ditrima dgn baik thankyou,5,Positif,ditrima thankyou
mantaap pak bos.. senang berbisnis ama si boss hehehehe,4,Positif,mantaap bos senang berbisnis ama si boss hehehehe
Produk sesuai pesanan. Kualitas baik. Respon penjual cepat,5,Positif,sesuai pesanan kualitas respon penjual cepat
paket rapi dan cepat pengirimannya,5,Positif,rapi cepat pengirimannya
"Pelayanan yg memuaskan , pengiriman sangat cepat, packing baik...",5,Positif,pelayanan memuaskan cepat kemasan
"produknya sesuai dengan diskripsi produk, mudah2 kualitasnya jg, terima kasih",5,Positif,produknya sesuai diskripsi mudah kualitasnya jg terima kasih
"respon cepat dan tanggap, sukses selalu",5,Positif,respon cepat tanggap sukses
Keren jam tangannya. Recommended banget deh,5,Positif,keren jam tangannya recommended banget deh
not bad .............................................,4,Positif,not bad
"pengiriman dan respon cepat, packing OK dan barang sesuai deskripsi",5,Positif,respon cepat kemasan sesuai deskripsi
Mantap pengiriman cepat dan barang sesuai pesanan,5,Positif,bagus cepat sesuai pesanan
Pesanan sampai dengan cepat dan recommended sekali. Baru pesan kemaren siang hari ini siang sudah sampai. Thx,5,Positif,pesanan cepat recommended kemaren siang siang terima kasih
"nice product, tap  tap mantap",5,Positif,nice product tap tap bagus
barang berfungsi dengan baik. reccomended. terima kasih,5,Positif,berfungsi reccomended terima kasih
Barangnya bagus dan bisa dipakai,5,Positif,barangnya bagus dipakai
"sudah sampai di Palembang, thanks",5,Positif,palembang terima kasih
barang sudah nyampe sesuai reguest,5,Positif,nyampe sesuai reguest
"Barang sudah diterima, sesuai pesanan, makasih..",5,Positif,diterima sesuai pesanan terima kasih
"pengiriman agak lama, padahal pakai go-send.",5,Positif,pakai go send
Mantep gan kualitas bagus sesuai pesanan,5,Positif,mantep gan kualitas bagus sesuai pesanan
barang sesuai orderan...good packaging.... thankss,5,Positif,sesuai orderan good packaging thankss
Barang sudah diterima dan sesuai harapan,5,Positif,diterima sesuai harapan
"Fast respon,,barang oke,,terima kasih",5,Positif,fast respon terima kasih
Barangnya bagus pengiriman cepat,5,Positif,barangnya bagus cepat
Barang sesuai fotonya..  Dan cepet jg pengirimannya..  Makasih,4,Positif,sesuai fotonya cepat jg pengirimannya terima kasih
Unit sdh diterima dengan baik dan mulus. Terimakasih untuk kerjasamanya.,5,Positif,unit diterima mulus terimakasih kerjasamanya
"Bagus sesuai deskripsi, respon cepat, pengiriman cepat, terma kasih.",5,Positif,bagus sesuai deskripsi respon cepat cepat terma kasih
"Sdh sy terima gan, brgny mulus tq",5,Positif,terima gan brgny mulus tq
Terimakasih barang sudah di terima dengan baik,5,Positif,terimakasih terima
Very fast delivery and item correct. thnks,5,Positif,very fast delivery and item correct thnks
barang oke dan sesuai pesanan.. semoga tidak ada masalah.. thank you,5,Positif,sesuai pesanan semoga thank you
"barang sudah diterima, tks ............. :)",5,Positif,diterima tks
Mantaaaaaaaaaaaaaaaaaappp,5,Positif,mantaapp
"Mantuuuuuullllllll barangnya. Tapi apa 3mang warnanya agak ke kuningan ya, jd antara sol dengan bahan sepatunya beda banget putihnya.",5,Positif,mantuull barangnya mang warnanya kuningan ya jd sol bahan sepatunya beda banget putihnya
Datang sesuai jadwal dan kualitas barang OK,5,Positif,sesuai jadwal kualitas
Okeyyyyyyyyyyyyyyyyy,5,Positif,okeyy
salut sama toko ini! respon cepat,5,Positif,salut respon cepat
cepat and bagusssss bangetttt,5,Positif,cepat and baguss bangett
Barang sesuai dan berfungsi dengan baik,5,Positif,sesuai berfungsi
"Sesuai dgn yg diiklankan. Simple, murah meriah!!!! Mantab",5,Positif,sesuai diiklankan simple murah meriah mantab
bagus.....meski tibanya lama karna jne nya libur natal,5,Positif,bagus tibanya karna jne nya libur natal
bagus dan murah tapi ada jahitan yang terbuka di tempat nyimpan bola,4,Positif,bagus murah jahitan terbuka nyimpan bola
"pelayanan+ jam nya bgus tdk ada cact,kurir ramah...suka semuanya",5,Positif,pelayanan jam nya bgus cact ramah suka
"Barng sudah sampai dengan aman, ini baru charge 30menit an kok puanas yo,opo gak overheat nantinya",4,Positif,barng aman charge menit an puanas yo opo overheat
"Barang udh sampe, sesuai pesanan and semoga awet ya gan. Recommended seller",4,Positif,udh sampe sesuai pesanan and semoga awet ya gan recommended
Responnya sangat cepat dan terakomodir dengan baik kebutuhan kita.... MANTAP,5,Positif,responnya cepat terakomodir kebutuhan bagus
Respon pengiriman cepat,5,Positif,respon cepat
Recommended seller..........,5,Positif,recommended
Barang bagus gan. Mantap. Ga salah beli saya. hehe,5,Positif,bagus gan bagus salah hehe
"Berfungsi baik ,terima kasih",5,Positif,berfungsi terima kasih
"barang sesuai, packing rapi",5,Positif,sesuai kemasan rapi
Terimakasih barang sdh kami terima dengan baik. Semoga awet.,5,Positif,terimakasih terima semoga awet
Thanks yaaaaaaaaaasaasaaaaaaaaa,5,Positif,terima kasih yaasaasaa
"Bagus bagus. Saya suka
Youtube.com/aruhikaru",5,Positif,bagus bagus suka youtube com aruhikaru
"barang bagus, sesuai gambar. pengiriman cepat. nice",5,Positif,bagus sesuai gambar cepat nice
sssiiiiiiiiiiiiiiiippppppppppppppppppp,5,Positif,ssiipp
"brang sesui pesanan
thanx gan
serponnya jg sangat baik",5,Positif,brang sesui pesanan thanx gan serponnya jg
"barangnya bagus tapi sayank g sesuai sama judul, soalnya bukan mtech. tapi udah dicoba dan bagus, enak dipakenya",5,Positif,barangnya bagus sayank sesuai judul mtech dicoba bagus enak dipakenya
Barang sampai sesuai pesanan. Respon penjual lmyn cepat,4,Positif,sesuai pesanan respon penjual lmyn cepat
Makasih gan......................,5,Positif,terima kasih gan
Sebenernya sih kualitas barang ok..kecepatan pengirimah ok banget..sayang seller kurang teliti..minta warna selain pink malah di kirim pink...di inbox bisa minta retur cm jawab tanya ke packingnya...sedikit kecewa,5,Positif,sebenernya sih kualitas kecepatan pengirimah banget sayang teliti warna pink pink inbox retur cm packingnya kecewa
bagussssssssssssssssss,4,Positif,baguss
"respon cepat, kirim cepat, barang bagus. repeat order",4,Positif,respon cepat cepat bagus repeat
"sampai dengan baik, barangnya sesuai",5,Positif,barangnya sesuai
Keren..nyaman..berkualitas,5,Positif,keren nyaman berkualitas
Barang ok sesuai pesanan,4,Positif,sesuai pesanan
"Nyesel, kenapa ga dari dulu gua beli barang disini. Barang nya ok udah sebulan blum ada kendala. Pertahankan kerja baiknya gan..",5,Positif,nyesel gua nya sebulan blum kendala pertahankan kerja baiknya gan
anti goresnya bener anti glare hanya beda merk aja dr gambar. sejauh ini its ok. thanks seller,5,Positif,anti goresnya anti glare beda merk dr gambar its terima kasih
Fast Respon...Barang Sesuai... Pengiriman Cepat...Recommended,5,Positif,fast respon sesuai cepat recommended
Pengiriman cepat respon pembili good,5,Positif,cepat respon pembili good
"Barang sdh diterima dgn baik &amp; sesuai pesanan tapi belum di test baterainya,",4,Positif,diterima amp sesuai pesanan test baterainya
"Barang sudah sampai. Semoga awet, thanks Gan",5,Positif,semoga awet terima kasih gan
"Barang sesuai deskripsi &amp; pesanan, berfungsi baik &amp; normal..tq gan",5,Positif,sesuai deskripsi amp pesanan berfungsi amp normal tq gan
sesuai ekspektasi. tidak mengecewakan,4,Positif,sesuai ekspektasi mengecewakan
"Barang bagus, cepat sampai, recommended!",5,Positif,bagus cepat recommended
Barang bagus cepat datang dan sesuai ekspektasi,5,Positif,bagus cepat sesuai ekspektasi
"Pesanan sesuai, terimakasih atas pelayanannya",5,Positif,pesanan sesuai terimakasih pelayanannya
Barang sesuai pesanan dan paking sangat rapi jadi aman...,5,Positif,sesuai pesanan paking rapi aman
Ukuran dan warna sesuai dengan deskripsi produk yang dijual,5,Positif,ukuran warna sesuai deskripsi dijual
